strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
CAN14-144	2014-08-25 (2014-07-12 - 2014-11-03)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455279	
EV-D68/Homosapiens/USA/C7720/2014	2014-08-12	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255352	
EV-D68/Homosapiens/USA/C7721/2014	2014-08-14	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255415	
EV68/Ontario/C818712/2014	2014-09-15	B1	Canada	North America						2019-07-15		Eshaghi,A., Li,A., Banh,P., Patel,S.N. and Gubbay,J.B.	KT835408	
EV-D68/Homosapiens/USA/C7733/2014	2014-09-13	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255385	
EV-D68/Homosapiens/USA/C7731/2014	2014-09-12	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255354	
USA/MI/2014-19265	2014-09-25	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KU669043	
USA/OH/2014-19192	2014-08-29	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995557	
EV-D68/Homosapiens/USA/SSENT10/2014	2014-09-19	B1	USA	North America	9	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351812	
USA/MA/2014-19183	2014-09-10	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995547	
EVD68/Homosapiens/USA/MO35/2014	2014-06-25 (2014-01-01 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347275	
USA/OH/2014-19240	2014-09-17	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995604	
USA/PA/2014-19177	2014-09-08	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995538	
CAN14-187	2014-06-18 (2014-01-01 - 2014-12-31)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455280	
USA/OH/2014-19223	2014-08-27 (2014-06-14 - 2014-12-12)	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995587	
USA/SC/2014-19196	2014-09-08	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995562	
EVD68/Homosapiens/USA/MO41/2014	2014-09-07 (2014-07-11 - 2014-11-22)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347247	
US/CA/14-4232	2014-12-31 (2014-11-05 - 2014-12-31)	B1	USA	North America						2019-07-15		Hixon,A., Yu,G., Tyler,K. and Chiu,C.Y.	KU844180	
USA/VA/2014-19181	2014-09-09	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995544	
USA/IL/2014-19179	2014-09-06	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995542	
USA/KY/2014-19182	2014-09-07	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995545	
NYS14_31249	2014-08-23 (2014-06-30 - 2014-11-14)	B1	USA	North America						2019-07-15		Lamson,D.M., Fagan,S. and St. George,K.	KT455427	
EV68_Alberta4693_2014	2014-08-31	B1	Canada	North America						2019-07-15		Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.	KP114663	
EVD68/Homosapiens/USA/MO12/2014	2014-10-17 (2014-07-24 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347258	
USA/PA/2014-19263	2014-09-09	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995628	
EVD68/Homosapiens/USA/MO19/2014	2014-09-08 (2014-07-07 - 2014-11-24)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347233	
EVD68/Homosapiens/USA/MO8/2014	2014-08-27 (2014-06-27 - 2014-11-09)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347278	
EVD68/Homosapiens/USA/MO51/2014	2014-08-18 (2014-06-22 - 2014-11-07)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347252	
EVD68/Homosapiens/USA/MO33/2014	2014-12-31 (2014-12-05 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347254	
EV-D68/Homosapiens/USA/O4445/2013	2013-10-07	B1	USA	North America	6	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255387	
EV-D68/Homosapiens/USA/O4446/2013	2013-10-15	B1	USA	North America	6	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255398	
EV-D68/Homosapiens/USA/O4444/2013	2013-10-15	B1	USA	North America	6	6-17y	<18y	<18y		2019-07-15		Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.	KX433165	
EV-D68/Homosapiens/USA/O3797/2013	2013-08-28	B1	USA	North America	7	6-17y	<18y	<18y		2019-07-15		Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.	KX433156	
EV-D68/Homosapiens/USA/O4417/2013	2013-09-11	B1	USA	North America	7	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255368	
EV-D68/Homosapiens/USA/O4413/2013	2013-10-01	B1	USA	North America	6	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255384	
EV-D68/Homosapiens/USA/O4415/2013	2013-09-25	B1	USA	North America	6	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255406	
EV-D68/Homosapiens/USA/U5282/2014	2014-09-26	B1	USA	North America	9	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255375	
EV-D68/Homosapiens/USA/SSENT29/2014	2014-09-21	B1	USA	North America	5	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351794	
MEX/DF/2014-InDRE2351	2014-10-23	B1	Mexico	North America	15	6-17y	<18y	<18y		2019-07-15		Lopez-Martinez,I., Torres-Longoria,B., Barrera-Badillo,G., Ruiz-Lopez,A., Fierro-Valdez,M.A., Ortiz-Alcantara,J.M., Garces-Ayala,F., Gonzalez-Villa,M., Escobar-Escamilla,N., Ramirez-Gonzalez,J.E. and Diaz-Quinonez,J.A.	KT825142	
CAN14-185	2014-11-30 (2014-07-17 - 2014-12-31)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455278	
EV-D68/Homosapiens/USA/C7732/2014	2014-09-12	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255367	
USA/IA/2014-19225	2014-06-06 (2014-01-01 - 2014-12-31)	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995589	
EV-D68/Homosapiens/USA/SSENT23/2014	2014-09-17	B1	USA	North America	4	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351823	
USA/CT/2014-19208	2014-09-12	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995575	
NY124	2014-09-29	B1	USA	North America	0.8	<1y	<18y	<18y		2019-07-15		Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.	KP745752	
NY314	2014-09-24	B1	USA	North America	1	1-5y	<18y	<18y		2019-07-15		Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.	KP745763	
EV-D68/Homosapiens/USA/SSENT11/2014	2014-09-18	B1	USA	North America	8	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351797	
USA/CA/2014-RGDS-1027	2014-09-30 (2014-09-07 - 2014-09-30)	B1	USA	North America						2019-07-15		Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.	MK681492	
CAN14-455	2014-10-26 (2014-09-06 - 2014-12-24)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455276	
USA/CT/2014-19201	2014-09-13	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995567	
USA/KY/2014-19167	2014-08-22	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995532	
EV-D68/Homosapiens/USA/SSENT27/2014	2014-09-20	B1	USA	North America	11	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351795	
EV-D68/Homosapiens/USA/SSENT03/2014	2014-09-13	B1	USA	North America	5	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351798	
USA/AL/2014-19241	2014-09-15	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995605	
USA/CA/2014-RGDS-1025	2014-09-30 (2014-09-05 - 2014-09-30)	B1	USA	North America						2019-07-15		Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.	MK681490	
EV-D68/Homosapiens/USA/C7743/2014	2014-09-25	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255407	
EV-D68/Homosapiens/USA/C7791/2014	2014-09-28	B1	USA	North America	16	6-17y	<18y	<18y		2019-07-15		Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.	KX433161	
EVD68/Homosapiens/USA/MO38/2014	2014-07-06 (2014-05-09 - 2014-09-13)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347279	
EVD68/Homosapiens/USA/MO39/2014	2014-07-18 (2014-05-17 - 2014-09-28)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347236	
EVD68/Homosapiens/USA/MO58/2014	2014-09-09 (2014-07-17 - 2014-11-17)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347224	
USA/MS/2014-19204	2014-09-11	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995570	
EV-D68/Homosapiens/USA/SSENT26/2014	2014-09-19	B1	USA	North America	9	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351826	
EV-D68/Homosapiens/USA/SSENT04/2014	2014-09-14	B1	USA	North America	8	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351828	
EV-D68/Homosapiens/USA/SSENT14/2014	2014-09-17	B1	USA	North America	1	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351829	
EV-D68/Homosapiens/USA/SSENT19/2014	2014-09-17	B1	USA	North America	4	1-5y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351810	
CAN14-330	2014-07-11 (2014-05-06 - 2014-10-08)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455264	
EVD68/Homosapiens/USA/MO11/2014	2014-11-23 (2014-09-01 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347260	
EV-D68_STL_2014_12	2014-09-08 (2014-07-11 - 2014-12-05)	B1	USA	North America						2019-07-15		Wylie,K.M., Wylie,T.N., Orvedahl,A., Buller,R.S., Herter,B.N., Magrini,V., Wilson,R.K. and Storch,G.A.	KM881710	
EVD68/Homosapiens/USA/MO16/2014	2014-07-19 (2014-05-23 - 2014-09-19)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347249	
US/MO/14-18947	2014-08-31 (2014-08-06 - 2014-08-31)	B1	USA	North America						2019-07-15		Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.	KM851225	
USA/NC/2014-19248	2014-09-24	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995613	
EVD68/Homosapiens/USA/MO47/2014	2014-10-09 (2014-08-13 - 2014-12-17)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347251	
EVD68/Homosapiens/USA/MO24/2014	2014-09-25 (2014-08-07 - 2014-11-14)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347253	
EVD68/Homosapiens/USA/MO28/2014	2014-10-16 (2014-08-30 - 2014-12-15)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347263	
EV68_Alberta17390_2014	2014-08-18	B1	Canada	North America						2019-07-15		Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.	KP114662	
USA/AL/2014-19169	2014-08-29	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995535	
CAN14-869	2014-10-19 (2014-08-24 - 2014-12-22)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455277	
USA/MT/2014-19216	2014-09-06	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995550	
EV-D68/Homosapiens/USA/C7722/2014	2014-08-14	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255364	
EV-D68/Homosapiens/USA/C7723/2014	2014-08-16	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255373	
USA/IL/2014-18956	2014-08-31 (2014-08-12 - 2014-08-31)	B1	USA	North America						2019-07-15		Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.	MK268345	
USA/TN/2014-19260	2014-09-27	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995625	
EVD68/Homosapiens/USA/MO43/2014	2014-09-02 (2014-07-28 - 2014-10-19)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347274	
USA/MD/2014-19235	2014-09-16	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995599	
EVD68/Homosapiens/USA/MO9/2014	2014-11-30 (2014-10-13 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347259	
EVD68/Homosapiens/USA/MO54/2014	2014-12-31 (2014-11-05 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347223	
USA/ID/2014-19256	2014-09-25	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995621	
USA/IL/2014-19199	2014-08-22	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995565	
EVD68/Homosapiens/USA/MO22/2014	2014-09-12 (2014-07-13 - 2014-12-11)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347264	
USA/CO/2014-19190	2014-09-05	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995541	
USA/NE/2014-19206	2014-09-09	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995572	
